URL,Name,Price(rs),Rating,Reviews,Description,ASIN,Manufecturer
https://www.amazon.in//BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_62?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-62,        Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty       ,512,4.1 out of 5 stars,"5,212 ratings","    PREMIUM QUALITY MATERIAL: This laptop computer briefcase is made of high-quality water repellent fabric, and well-made of foam pad inside. The laptop briefcase equipped with a removable shoulder strap and a soft carry handle, you can easily switch the carry way you want.     LIGHTWEIGHT AND MULTIFUNCTIONAL: It provide a removable shoulder strap, can be use as shoulder bag or handbag base on your need; top handle strap, and comes with adjustable strap with. It will be a good partner for your daily use or business trip.     EXCELLENT DETAILS: The laptop bag with exquisite zippers, durable hook of strap and soft handle, which make it more comfortable to carry and use. Ensure a secure and long-lasting usage everyday as office work bag, travel laptop briefcase, business laptop case, college laptop bag.     DIMENSION: External: 16 x 12 x 3 inch; Dimension: 16.5 x 11.5 x 2.5 inch. Suitable for 14-15.6 inch: Dell, Acer, ASUS, Samsung, HP and other brand laptops.(Please allow a little size different because of manual measurement). Great gifts choice for birthday, work anniversary.     BENNETT Warranty: Exchange within (6 months) if you don't like. If any problems, please do not hesitate to contact us. We will provide the best solution for you.    ", B09321GJXZ ,Appario Retail Private Ltd
https://www.amazon.in//Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-63,        Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece       ,320,3.8 out of 5 stars,"1,316 ratings","    Size: 13’’(33CM) X 13’’(33CM)| Quantity:- 1 Piece | Material: Cotton Canvas | Color: Black; Many ways to carry: This canvas can be a shoulder bag, a crossbody bag or a tote bag. Easy to match your garments. Material: this shoulder bag is made of soft canvas, very light and durable for daily use.<br><br>     Size Details: 13""Inches x 3"" Inches x 13"" Inches, handle drop: 15""Inches (Fully Adjustable). You can refer to the size in the image as well. The length of strap is fully adjustable.<br><br>     Big Capacity - Zip Closure. There is a big room inside the bag, with 2 open small pocket for small things, this bag has a high utility rate of space. Holds daily necessities like phone, wallet, Ipad, books, etc.<br><br>     Simple, casual and light, it's perfect for daily use like work, travel, shopping. Gift wishes.<br>; Department Name: Womens<br>     Age Range Description: Adult; Outer Material Type: Rattan    ",,Monark International
https://www.amazon.in//DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-64,        DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years)       ,219,3.7 out of 5 stars,"3,003 ratings","    Non-toxic and soft fabric made from safe materials to be used by kids and Washable     Soft And Cuddly Filling & Embroidery work Soft Toy School Bag For Kids, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag     Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one     color :- Red, Size :- 38 x 34 x 8 and Bag capacity is 10L    ",,Electronics Bazaar Store
https://www.amazon.in//Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-65,"        Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College       ",640,4.4 out of 5 stars,"1,025 ratings","    ""Outer Material : Nylon Twill Colour : Sky blue The backpack is LIGHT WEIGHT yet strong enough to hold your supplies. The superior quality NYLON TWILL material lends a beautiful shine and soft feel to the backpack.""     Dimensions (in cms): 34x14.5x40.5 Capacity: 20 Litres Weight: 400 grams Fully Lined for extra strength WATER RESISTANT : YES Warranty: 12 months manufacturer warranty     NUMBER OF COMPARTMENTS : 1 Spacious compartment to keep your essentials like textbooks, stationary, lunchbox etc. ONE SIDE POCKET : The backpack provides 1 exterior full fabric side pocket for holding water bottle,clipping pens or pencil or storing other items.     LAPTOP COMPARTMENT to accommodate laptop upto 15.6 inches     1 FRONT POCKET :It comes handy in keeping boarding pass tickets, mobile phone, earphone, cards,cash etc.    ",,RetailEZ Pvt Ltd
https://www.amazon.in//F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-66,        F Gear String 11 Ltrs Nylon Black Gym Bag       ,189,4.0 out of 5 stars,436 ratings,    Lightweight gym bags     Ergonomic Design     Durable     Size-(Hxlxw) Cm-(43x32x2) Cm::Gym Bags     Drawstring closure    ,,RetailEZ Pvt Ltd
https://www.amazon.in//Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-67,"        Bennett Laptop Bag for Menं & Women 15.6 inch, 25 L Water Resistant Bag Laptop Apple/Dell/Lenovo/Asus/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Ideapad/Surfacepro (Blue)       ",512,4.0 out of 5 stars,435 ratings,"    PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .     COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling     COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .     EFFORTLESS CARRYING: This lightweight backpack is the perfect travel companion for carrying a laptop, books, and accessories when visiting the airport, going to the school, college office, exploring a new city, or using it as a laptop bag.     MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.     Strap type: Shoulder Strap     Water Resistance Level: water_resistant    ", B09WZKB54G ,Appario Retail Private Ltd
https://www.amazon.in//VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1679392829&sprefix=ba%2Caps%2C283&sr=8-68,        VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown)       ,899,4.3 out of 5 stars,404 ratings,"    Padded, Comfortable Shoulder Strap     Easy access front pocket     Soft Grip handles     Stylish Design    ",,RetailEZ Pvt Ltd
https://www.amazon.in//SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1679392965&sprefix=ba%2Caps%2C283&sr=8-67,"        SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)       ",664,4.4 out of 5 stars,912 ratings,"    External Size (LxWxH): 250x150x200 mm, Internal Size (LxWxH): 230x110x180 mm     Accommodates all Entry Level & Mid Range Digital SLR Cameras with 18-55mm Lens attached + 55 to 250mm lens + Charger & cable , filter , Memory card and other accessories.Waterproof Rain Cover is included for Hustle-free outdoor activities.     back zipper pocket for keys, cards, chargers and other storage; Inner compartment zipper net bag for SD card box, filter cloth, or cleaning kit storage.Two side net pockets. Adjustable shoulder carrying strap.     Polyurethane coating super nylon Water shield Material. With inside detachable divider to adjust the inside space for camera, lens and accessories.     Package Includes: 1*waterproof Camera Case Bag 1*Shoulder Strap 1*Rain Cover 1*Spacer Pad    ",,Appario Retail Private Ltd
https://www.amazon.in//Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1679392965&sprefix=ba%2Caps%2C283&sr=8-68,        Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black       ,"1,030",4.4 out of 5 stars,"1,687 ratings","    Outer material: synthetic, color: black; Waterproof     Capacity: 28 liters; Weight: 600 grams; Dimensions: 48 cms x 33 cms x 18 cms (LxWxH)     Number of compartments: 2     Laptop compatibility: yes, laptop size: 16strap type: adjustable     Special Features: Back Padding; Age Range Description: Adult; Pocket Description: Utility Pocket; Closure Type: Zipper     Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,3 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .    ",,RetailEZ Pvt Ltd
https://www.amazon.in//HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1679392965&sprefix=ba%2Caps%2C283&sr=8-69,"        Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |       ","2,599",4.3 out of 5 stars,"4,682 ratings","    GENUINE LEATHER: This laptop bag for men / office bag for men is made of 100% Full Grain Genuine Leather. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.     FEATURES OF LAPTOP BAG FOR MEN: Fits up Upto 16 Inch Laptop | Padded & adjustable shoulder Straps | Padded Laptop Compartment | 1 Main Compartments | Brand's Brass Rivits | Heavy Duty Antirust Metal Fittings | Brand's Jacquard Fabrics | Brand's zippers & sliders | Stitched by a quality nylon thread. | 2 Grab Handles | Dimension: L - 43 B - 9 H - 31 cm | Water Resistance Level: Water Resistant     DESIGN DECENCY OFFICE BAG FOR MEN: This Hammonds Flycatcher genuine leather bag for men is designed by our professional designers which set you apart and outstandingly positioned in the crowd, makes you stand out an organized person. These are not Vegan Leather which will contain shine on its surface. Start your journey now with this leather bag for men as a messenger bag, shoulder bag, office bag , briefcase or laptop bag. Suitable for your school, office, college, & business for everyday use.     MULTI-FUNCTIONAL COMPARTMENT: Roomy compartments in Flycatcher office bag for men provides separated space for your 16” Laptop/MacBook/notebook files, pens, wallet and all your items. This office bags for men has padded laptop compartment that offers perfect protection for your laptop from accidental bumps and shocks.     PERFECT GIFT: This laptop bag for men is a great gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift . This office bags for men makes a great gift for professionals, artists, students, and all sorts of officials.    ",,Hammonds_Flycatcher
